Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita;christianity_protestant;christianity_romancatholic;christianity_easternorthodox;christianity_anglican;christianity_other;christianity_all;judaism_orthodox;judaism_conservative;judaism_reform;judaism_other;judaism_all;islam_sunni;islam_shi’a;islam_ibadhi;islam_nationofislam;islam_alawite;islam_ahmadiyya;islam_other;islam_all;buddhism_mahayana;buddhism_theravada;buddhism_other;buddhism_all;zoroastrianism_all;hinduism_all;sikhism_all;shinto_all;baha’i_all;taoism_all;jainism_all;confucianism_all;syncretism_all;animism_all;noreligion_all;otherreligion_all;religion_all;population;protestant_percent;romancatholic_percent;easternorthodox_percent;anglican_percent;otherchristianity_percent;christianity_percent;orthodox_percent;conservative_percent;reform_percent;otherjudaism_percent;judaism_percent;sunni_percent;shi’a_percent;ibadhi_percent;nationofislam_percent;alawite_percent;ahmadiyya_percent;otherislam_percent;islam_percent;mahayana_percent;theravada_percent;otherbuddhism_percent;buddhism_percent;zoroastrianism_percent;hinduism_percent;sikhism_percent;shinto_percent;baha’i_percent;taoism_percent;jainism_percent;confucianism_percent;syncretism_percent;animism_percent;noreligion_percent;otherreligion_percent;religion_sumpercent;total_percent;dual_religion
Suriname;Latin America and Caribbean;north;6.269;719;5.871;128;178;7;142632;129048;0;0;0;271680;0;0;0;290;290;0;0;0;0;0;0;110936;110936;0;0;0;0;0;155084;0;0;0;0;0;0;0;28000;0;10;565990;566000;0.252;0.228;0;0;0;0.48;0;0;0;0.0005;0.0005;0;0;0;0;0;0;0.196;0.196;0;0;0;0;0;0.274;0;0;0;0;0;0;0;0.0495;0;0;1;1;0
Bahrain;Middle East and Northern Africa;north;6.218;846;22.561;42;63;7;13767;32757;33917;13767;26777;120985;0;0;0;0;0;365037;741137;0;0;0;0;0;1106174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7412;1227159;1234571;0.0112;0.0265;0.0275;0.0112;0.0217;0.098;0;0;0;0;0;0.2957;0.6003;0;0;0;0;0;0.896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006;0.994;1;0
Trinidad and Tobago;Latin America and Caribbean;north;6.168;785;16.352;197;156;7;365100;285670;3500;75000;0;729270;0;0;0;0;0;0;0;0;0;0;0;65700;65700;0;0;0;0;0;240100;0;0;0;0;0;0;0;0;175640;94290;1210710;1305000;0.2798;0.2189;0.0027;0.0575;0;0.5588;0;0;0;0;0;0;0;0;0;0;0;0.0503;0.0503;0;0;0;0;0;0.184;0;0;0;0;0;0;0;0;0.1346;0.0723;0.9277;1;0
Venezuela;Latin America and Caribbean;north;6.084;766;15.692;333;100;3;4325100;23067200;0;0;0;27392300;0;0;0;16515;16515;0;0;0;0;0;0;29864;29864;0;0;12177;12177;0;0;0;0;10000;0;0;0;6113;53700;1267254;46077;28787923;28834000;0.15;0.8;0;0;0;0.95;0;0;0;0.0006;0.0006;0;0;0;0;0;0;0.001;0.001;0;0;0.0004;0.0004;0;0;0;0;0.0003;0;0;0;0.0002;0.0019;0.0439;0.0016;0.9984;0.9999;0
Slovakia;Central and Eastern Europe;north;6.078;853;16.53;196;293;116;473787;3370291;257764;0;0;4101842;0;0;0;2445;2445;0;0;0;0;0;0;521;521;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;730349;597914;4836229;5434143;0.0872;0.6202;0.0474;0;0;0.7548;0;0;0;0.0004;0.0004;0;0;0;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0;0;0.0002;0;0;0;0;0;0.1344;0.11;0.89;0.9999;0
El Salvador;Latin America and Caribbean;north;6.068;679;3.769;52;69;2;1990591;4219188;0;0;0;6209779;0;0;0;648;648;0;0;0;0;0;0;2027;2027;0;0;0;0;0;0;0;0;0;0;0;0;0;27500;800563;171771;7040517;7212288;0.276;0.585;0;0;0;0.861;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0038;0.111;0.0238;0.9762;1;0
Nicaragua;Latin America and Caribbean;north;5.992;657;2.144;78;118;1;1350661;3798734;93149;0;0;5242544;0;0;0;0;0;0;0;0;0;0;0;1602;1602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523963;53706;5768109;5821815;0.232;0.6525;0.016;0;0;0.9005;0;0;0;0;0;0;0;0;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.0092;0.9908;1;0
Uzbekistan;Central and Eastern Europe;north;5.987;703;2.106;25;101;8;0;0;1126422;0;281605;1408027;0;0;0;4200;4200;25907724;281605;0;0;0;0;0;26189329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504000;55014;28105556;28160570;0;0;0.04;0;0.01;0.05;0;0;0;0.0001;0.0001;0.92;0.01;0;0;0;0;0;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0179;0.002;0.998;1;0
Italy;Western Europe;north;5.977;878;30.669;85;42;237;0;47858795;0;0;160086;48018881;0;0;0;39000;39000;0;0;0;0;0;0;700000;700000;0;0;8831;8831;0;7923;24193;0;5123;0;0;0;46270;2117;11300000;330886;60152338;60483224;0;0.7913;0;0;0.0026;0.7939;0;0;0;0.0006;0.0006;0;0;0;0;0;0;0.0116;0.0116;0;0;0.0001;0.0001;0;0.0001;0.0004;0;0.0001;0;0;0;0.0008;0;0.1868;0.0055;0.9945;0.9999;0
Ecuador;Latin America and Caribbean;both;5.976;749;6.019;162;74;3;284183;12361961;0;0;184183;12830327;0;0;0;1000;1000;0;0;0;0;0;0;1500;1500;0;0;7460;7460;0;0;0;0;1720;0;0;0;0;35000;1207777;124367;14084784;14209151;0.02;0.87;0;0;0.013;0.903;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0.0001;0.0001;0;0;0.0005;0.0005;0;0;0;0;0.0001;0;0;0;0;0.0025;0.085;0.0088;0.9912;1.0001;0
Belize;Latin America and Caribbean;north;5.956;709;4.96;263;114;8;80829;123010;0;14016;6117;223972;0;0;0;0;0;0;0;0;0;0;0;577;577;0;0;757;757;0;612;0;0;202;0;0;0;0;0;47511;30475;273631;304106;0.2658;0.4045;0;0.0461;0.0201;0.7365;0;0;0;0;0;0;0;0;0;0;0;0.0019;0.0019;0;0;0.0025;0.0025;0;0.002;0;0;0.0007;0;0;0;0;0;0.1562;0.1002;0.8998;1;0
Japan;Eastern Asia;noth;5.921;907;38.972;77;202;16;1307988;1072810;47680;47680;23840;2499998;0;0;0;1000;1000;0;0;0;0;0;0;195001;195001;0;0;88035713;88035713;0;23500;2000;108000000;15000;0;1500;120000;295000;12000;12107911;0;211308623;127451704;0.0103;0.0084;0.0004;0.0004;0.0002;0.0196;0;0;0;0;0;0;0;0;0;0;0;0.0015;0.0015;0;0;0.6907;0.6907;0;0.0002;0;0.8474;0.0001;0;0;0.0009;0.0023;0.0001;0.095;0;1.658;1.6578;1
Kazakhstan;Central and Eastern Europe;north;5.919;797;7.715;124;246;12;0;0;4731595;0;0;4731595;0;0;0;3300;3300;9189508;489475;0;0;0;0;0;9678983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1880000;21970;16293878;16315848;0;0;0.29;0;0;0.29;0;0;0;0.0002;0.0002;0.5632;0.03;0;0;0;0;0;0.5932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1152;0.0013;0.9987;0.9999;0
Moldova;Central and Eastern Europe;north;5.897;697;1.913;109;226;18;100000;95500;2730000;0;0;2925500;0;0;0;3900;3900;128238;0;0;0;0;0;0;128238;0;0;0;0;0;0;0;0;0;0;0;0;0;3562;500000;958;3561200;3562158;0.0281;0.0268;0.7664;0;0;0.8213;0;0;0;0.0011;0.0011;0.036;0;0;0;0;0;0;0.036;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.1404;0.0003;0.9997;1.0001;0
Russia;Central and Eastern Europe;north;5.856;815;8.748;247;326;73;2096758;1100798;102500000;0;0;105697556;0;0;0;194000;194000;16482000;0;0;0;0;0;0;16482000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20000000;26444;142373556;142400000;0.0147;0.0077;0.7198;0;0;0.7423;0;0;0;0.0014;0.0014;0.1157;0;0;0;0;0;0;0.1157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1404;0.0002;0.9998;1;0
Poland;Central and Eastern Europe;north;5.835;860;12.415;343;215;56;145600;33507000;505200;0;381829;34539629;0;0;0;1600;1600;0;0;0;0;0;0;5100;5100;0;0;1500;1500;0;0;0;0;0;0;0;0;0;0;3054633;580458;37602462;38182920;0.0038;0.8775;0.0132;0;0.01;0.9046;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.0152;0.9848;0.9999;0
South Korea;Eastern Asia;noth;5.835;900;27.105;140;16;9;8748356;5224935;0;0;0;13973291;0;0;0;101;101;0;0;0;0;0;0;71071;71071;0;0;11022677;11022677;0;0;0;29951;30459;0;0;329544;45688;511716;22199939;660563;48214437;48875000;0.179;0.1069;0;0;0;0.2859;0;0;0;0;0;0;0;0;0;0;0;0.0015;0.0015;0;0;0.2255;0.2255;0;0;0;0.0006;0.0006;0;0;0.0067;0.0009;0.0105;0.4542;0.0135;0.9865;0.9999;0
Bolivia;Latin America and Caribbean;south;5.822;689;3.117;167;41;8;1373600;8340600;4400;1500;0;9720100;0;0;0;350;350;0;0;0;0;0;0;1031;1031;0;0;3836;3836;0;0;0;0;0;0;0;0;773;162419;412492;11314;10301001;10312315;0.1332;0.8088;0.0004;0.0001;0;0.9426;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.0001;0;0;0.0004;0.0004;0;0;0;0;0;0;0;0;0.0001;0.0158;0.04;0.0011;0.9989;1.0001;0
Lithuania;Central and Eastern Europe;north;5.813;855;14.913;343;244;56;27397;2564874;162836;0;0;2755107;0;0;0;6000;6000;2727;0;0;0;0;0;0;2727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505000;52198;3268834;3321032;0.0082;0.7723;0.049;0;0;0.8296;0;0;0;0.0018;0.0018;0.0008;0;0;0;0;0;0;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1521;0.0157;0.9843;1;0
Belarus;Central and Eastern Europe;north;5.802;805;5.023;142;373;42;111798;670788;4611671;0;0;5394257;0;0;0;12000;12000;0;0;0;0;0;0;19000;19000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900595;164648;9325852;9490500;0.0118;0.0707;0.4859;0;0;0.5684;0;0;0;0.0013;0.0013;0;0;0;0;0;0;0.002;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.411;0.0173;0.9827;1;0
Slovenia;Central and Eastern Europe;north;5.768;894;21.65;270;51;276;20537;1314376;41074;0;0;1375987;0;0;0;205;205;61611;0;0;0;0;0;0;61611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492891;123020;1930694;2053714;0.01;0.64;0.02;0;0;0.67;0;0;0;0.0001;0.0001;0.03;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24;0.0599;0.9401;1;0
Peru;Latin America and Caribbean;both;5.743;748;6.031;163;160;21;3675330;23904351;0;0;0;27579681;0;0;0;3000;3000;0;0;0;0;0;0;6000;6000;0;0;10200;10200;0;0;0;0;10000;0;0;0;0;50000;1176105;567660;28834986;29402646;0.125;0.813;0;0;0;0.938;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0.0002;0.0002;0;0;0.0003;0.0003;0;0;0;0;0.0003;0;0;0;0;0.0017;0.04;0.0193;0.9807;0.9999;0
Turkmenistan;Central and Eastern Europe;north;5.658;705;6.389;19;71;32;0;0;505440;0;0;505440;0;0;0;700;700;4998243;0;0;0;0;0;0;4998243;0;0;722;722;0;0;0;0;1096;0;0;0;0;0;56160;53643;5562361;5616004;0;0;0.09;0;0;0.09;0;0;0;0.0001;0.0001;0.89;0;0;0;0;0;0;0.89;0;0;0.0001;0.0001;0;0;0;0;0.0002;0;0;0;0;0;0.01;0.0096;0.9904;1;0
Mauritius;Sub-Saharan Africa;north;5.648;788;9.682;98;31;18;26894;336666;35;2889;50000;416484;0;0;0;0;0;203522;18256;0;0;0;0;0;221778;0;0;2251;2251;0;622238;2817;0;668;0;0;0;3500;1200;9092;483;1280028;1280511;0.021;0.2629;0;0.0023;0.039;0.3252;0;0;0;0;0;0.1589;0.0143;0;0;0;0;0;0.1732;0;0;0.0018;0.0018;0;0.4859;0.0022;0;0.0005;0;0;0;0.0027;0.0009;0.0071;0.0004;0.9996;0.9999;0
Latvia;Central and Eastern Europe;north;5.56;844;14.07;281;216;62;787002;541646;438210;54;5457;1772369;0;0;0;6000;6000;320;0;0;0;0;0;0;320;0;0;167;167;0;205;0;0;45;0;0;0;0;0;450000;13712;2229106;2242818;0.3509;0.2415;0.1954;0;0.0024;0.7902;0;0;0;0.0027;0.0027;0.0001;0;0;0;0;0;0;0.0001;0;0;0.0001;0.0001;0;0.0001;0;0;0;0;0;0;0;0;0.2006;0.0061;0.9939;0.9999;0
Cyprus;Western Europe;north;5.546;867;23.541;192;154;113;0;14481;575000;4683;12510;606674;0;0;0;147;147;164999;0;0;0;0;0;0;164999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26056;16082;797876;813958;0;0.0178;0.7064;0.0058;0.0154;0.7453;0;0;0;0.0002;0.0002;0.2027;0;0;0;0;0;0;0.2027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032;0.0198;0.9802;1;0
Paraguay;Latin America and Caribbean;south;5.538;702;4.078;213;117;74;258212;5680657;0;6455;193659;6138983;0;0;0;3208;3208;0;0;0;0;0;0;3873;3873;0;0;14783;14783;0;0;0;0;5600;0;0;0;0;29405;193658;65782;6389510;6455292;0.04;0.88;0;0.001;0.03;0.951;0;0;0;0.0005;0.0005;0;0;0;0;0;0;0.0006;0.0006;0;0;0.0023;0.0023;0;0;0;0;0.0009;0;0;0;0;0.0046;0.03;0.0102;0.9898;1.0001;0
Romania;Central and Eastern Europe;north;5.528;807;9.532;297;122;167;1319965;978310;18601247;0;0;20899522;0;0;0;9500;9500;85000;0;0;0;0;0;0;85000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350000;89160;21344022;21433182;0.0616;0.0456;0.8679;0;0;0.9751;0;0;0;0.0004;0.0004;0.004;0;0;0;0;0;0;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0163;0.0042;0.9958;1;0
Estonia;Central and Eastern Europe;north;5.517;868;17.737;224;194;59;149306;5510;220199;36;5090;380141;0;0;0;1700;1700;2000;0;0;0;0;0;0;2000;0;0;1401;1401;0;361;19;0;59;176;0;0;73;4902;925000;24142;1315832;1339974;0.1114;0.0041;0.1643;0;0.0038;0.2837;0;0;0;0.0013;0.0013;0.0015;0;0;0;0;0;0;0.0015;0;0;0.001;0.001;0;0.0003;0;0;0;0.0001;0;0;0.0001;0.0037;0.6903;0.018;0.982;1;0
Jamaica;Latin America and Caribbean;north;5.51;732;4.879;82;97;9;1736000;58000;0;75000;105000;1974000;0;0;0;531;531;0;0;0;0;0;0;1513;1513;0;0;322;322;0;15961;0;0;209;0;0;0;0;0;572000;304094;2564536;2868630;0.6052;0.0202;0;0.0261;0.0366;0.6881;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0.0005;0.0005;0;0;0.0001;0.0001;0;0.0056;0;0;0.0001;0;0;0;0;0;0.1994;0.106;0.894;1;0
Croatia;Central and Eastern Europe;north;5.488;828;12.299;230;87;254;15129;3817311;196323;0;13382;4042145;0;0;0;553;553;65023;0;0;0;0;0;0;65023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250000;66440;4357721;4424161;0.0034;0.8628;0.0444;0;0.003;0.9137;0;0;0;0.0001;0.0001;0.0147;0;0;0;0;0;0;0.0147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0565;0.015;0.985;1;0
Turkey;Middle East and Northern Africa;north;5.389;787;10.863;51;22;7;64498;35747;87906;0;132126;320277;0;0;0;15000;15000;75699756;0;0;0;0;0;0;75699756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383938;368661;76418971;76787632;0.0008;0.0005;0.0011;0;0.0017;0.0042;0;0;0;0.0002;0.0002;0.9858;0;0;0;0;0;0;0.9858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0.0048;0.9952;1;0
Jordan;Middle East and Northern Africa;north;5.303;735;4.088;6;21;1;0;30560;134467;0;18336;183363;0;0;0;0;0;5806540;122242;0;0;0;0;0;5928782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6112145;6112148;0;0.005;0.022;0;0.003;0.03;0;0;0;0;0;0.95;0.02;0;0;0;0;0;0.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Azerbaijan;Central and Eastern Europe;north;5.291;757;3.881;21;46;5;3200;0;215000;0;0;218200;0;0;0;8000;8000;1289285;7305949;0;0;0;0;0;8595234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175000;51181;8996434;9047615;0.0004;0;0.0238;0;0;0.0241;0;0;0;0.0009;0.0009;0.1425;0.8075;0;0;0;0;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0193;0.0057;0.9943;1;0
Philippines;Southeastern Asia;north;5.279;696;2.951;71;186;1;7487470;76469863;0;145000;391112;84493445;0;0;0;300;300;4604898;460489;0;0;0;0;48384;5113771;0;0;105000;105000;0;0;0;0;157000;0;0;0;53000;1093786;858781;222895;91875083;92097978;0.0813;0.8303;0;0.0016;0.0042;0.9174;0;0;0;0;0;0.05;0.005;0;0;0;0;0.0005;0.0555;0;0;0.0011;0.0011;0;0;0;0;0.0017;0;0;0;0.0006;0.0119;0.0093;0.0024;0.9976;0.9999;0
China;Eastern Asia;noth;5.245;748;8.117;79;192;8;51116622;10761394;10317;0;16142091;78030424;0;0;0;2579;2579;0;0;0;0;0;0;33629356;33629356;0;0;169491958;169491958;0;18572;22699;0;0;4573592;0;0;564973194;53653442;437181638;3596818;1341577454;1345174272;0.038;0.008;0;0;0.012;0.058;0;0;0;0;0;0;0;0;0;0;0;0.025;0.025;0;0;0.126;0.126;0;0;0;0;0;0.0034;0;0;0.42;0.0399;0.325;0.0027;0.9973;1;0
Kyrgyzstan;Central and Eastern Europe;north;5.185;669;1.22;31;97;6;11000;0;429229;0;100000;540229;0;0;0;500;500;4131336;1200;0;0;0;0;0;4132536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268268;423839;4941533;5365372;0.0021;0;0.08;0;0.0186;0.1007;0;0;0;0.0001;0.0001;0.77;0.0002;0;0;0;0;0;0.7702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.079;0.921;1;0
Bosnia and Herzegovina;Central and Eastern Europe;north;5.163;766;4.809;76;173;8;38237;573569;1376566;0;0;1988372;0;0;0;1019;1019;1720707;0;0;0;0;0;0;1720707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112000;1697;3822098;3823795;0.01;0.15;0.36;0;0;0.52;0;0;0;0.0003;0.0003;0.45;0;0;0;0;0;0;0.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0293;0.0004;0.9996;1;0
Montenegro;Central and Eastern Europe;north;5.161;810;7.029;31;114;128;1200;21624;453696;0;1482;478002;0;0;0;0;0;0;0;0;0;0;0;120289;120289;0;0;119;119;0;0;0;0;0;0;0;0;0;0;28400;2707;626810;629517;0.0019;0.0344;0.7207;0;0.0024;0.7593;0;0;0;0;0;0;0;0;0;0;0;0.1911;0.1911;0;0;0.0002;0.0002;0;0;0;0;0;0;0;0;0;0;0.0451;0.0043;0.9957;1;0
Dominican Republic;Latin America and Caribbean;north;5.155;733;6.794;193;147;9;1493497;7168786;0;0;0;8662283;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1194797;99468;9857180;9956648;0.15;0.72;0;0;0;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0.01;0.99;1;0
Morocco;Middle East and Northern Africa;north;5.151;662;2.893;12;6;10;0;0;0;0;317760;317760;0;0;0;6000;6000;31426515;3500;0;0;0;0;0;31430015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22277;31753775;31776052;0;0;0;0;0.01;0.01;0;0;0;0.0002;0.0002;0.989;0.0001;0;0;0;0;0;0.9891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0007;0.9993;1;0
Hungary;Central and Eastern Europe;north;5.145;835;12.82;234;215;185;1799569;4677371;192155;0;0;6669095;0;0;0;10965;10965;0;0;0;0;0;0;4500;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2688805;526635;9373365;9900000;0.1818;0.4725;0.0194;0;0;0.6736;0;0;0;0.0011;0.0011;0;0;0;0;0;0;0.0005;0.0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2716;0.0532;0.9468;1;0
Lebanon;Middle East and Northern Africa;north;5.129;753;8.257;20;55;31;28567;857010;489720;0;285670;1660967;0;0;0;0;0;1101870;1101870;0;0;0;0;0;2203740;0;0;75000;75000;0;0;0;0;0;0;0;0;0;0;122430;18863;4062137;4081000;0.007;0.21;0.12;0;0.07;0.407;0;0;0;0;0;0.27;0.27;0;0;0;0;0;0.54;0;0;0.0184;0.0184;0;0;0;0;0;0;0;0;0;0;0.03;0.0046;0.9954;1;0
